date,event,win_masked,games_won_masked,games_lost_masked,utr_singles_masked,utr_doubles_masked,opponent_utr_masked,win_unmasked,games_won_unmasked,games_lost_unmasked,utr_singles_unmasked,utr_doubles_unmasked,opponent_utr_unmasked,estimated_singles_utr,estimated_doubles_utr
2025-03-11T00:00:00,2559593,True,12,5,2.xx,3.xx,3.0,True,12,5,2.72,3.88,3.0,2.72,3.88
2025-03-02T00:00:00,2546590,True,11,7,2.xx,3.xx,3.0,True,11,7,2.72,3.88,4.0,2.74,3.9
2025-02-22T00:00:00,2535112,True,12,6,2.xx,3.xx,3.0,True,12,6,2.72,3.88,3.0,2.7600000000000002,3.92
2025-02-19T00:00:00,2531403,True,14,11,2.xx,3.xx,2.0,True,14,11,2.72,3.88,3.0,2.7800000000000002,3.94
2025-02-05T00:00:00,2514216,True,11,11,2.xx,3.xx,2.0,True,11,11,2.72,3.88,4.0,2.8000000000000003,3.96
2025-02-01T00:00:00,2509905,True,13,7,2.xx,3.xx,3.0,True,13,7,2.72,3.88,3.0,2.8200000000000003,3.98
2025-01-19T00:00:00,2509811,True,12,4,2.xx,3.xx,1.0,True,12,4,2.72,3.88,3.0,2.8400000000000003,4.0
2025-01-07T00:00:00,2495037,True,14,10,2.xx,3.xx,,True,14,10,2.72,3.88,3.0,2.8600000000000003,4.02
2025-01-04T00:00:00,2494169,True,12,3,2.xx,3.xx,,True,12,3,2.72,3.88,2.0,2.8800000000000003,4.039999999999999
2024-12-22T00:00:00,2492771,True,12,3,2.xx,3.xx,1.0,True,12,3,2.72,3.88,3.0,2.9000000000000004,4.059999999999999
2024-12-17T00:00:00,2491307,True,11,9,2.xx,3.xx,1.0,True,11,9,2.72,3.88,3.0,2.9200000000000004,4.079999999999998
2024-12-11T00:00:00,2478874,True,12,3,2.xx,3.xx,2.0,True,12,3,2.72,3.88,3.0,2.9400000000000004,4.099999999999998
2024-12-07T00:00:00,2477250,True,13,7,2.xx,3.xx,2.0,True,13,7,2.72,3.88,3.0,2.9600000000000004,4.119999999999997
2024-12-06T00:00:00,2476764,True,12,4,2.xx,3.xx,4.0,True,12,4,2.72,3.88,4.0,2.9800000000000004,4.139999999999997
2024-11-23T00:00:00,2467356,True,12,1,2.xx,3.xx,,True,12,1,2.72,3.88,2.0,3.0000000000000004,4.159999999999997
2024-11-09T00:00:00,2456421,True,12,4,2.xx,3.xx,2.0,True,12,4,2.72,3.88,1.0,3.0200000000000005,4.179999999999996
2024-10-19T00:00:00,2420880,True,12,4,2.xx,3.xx,2.0,True,12,4,2.72,3.88,3.0,3.0400000000000005,4.199999999999996
2024-10-12T00:00:00,2413364,True,12,2,2.xx,3.xx,3.0,True,12,2,2.72,3.88,3.0,3.0600000000000005,4.219999999999995
2024-10-06T00:00:00,2408012,True,12,3,2.xx,3.xx,3.0,True,12,3,2.72,3.88,4.0,3.0800000000000005,4.239999999999995
2024-09-17T00:00:00,2387821,True,12,6,2.xx,3.xx,3.0,True,12,6,2.72,3.88,3.0,3.1000000000000005,4.2599999999999945
2024-09-07T00:00:00,2378049,True,12,11,2.xx,3.xx,1.0,True,12,11,2.72,3.88,2.0,3.1200000000000006,4.279999999999994
2024-09-07T00:00:00,2378049,True,12,11,2.xx,3.xx,1.0,True,13,9,2.72,3.88,1.0,3.1400000000000006,4.299999999999994
2024-09-07T00:00:00,2378049,True,13,9,2.xx,3.xx,1.0,True,12,11,2.72,3.88,2.0,3.1600000000000006,4.319999999999993
2024-09-07T00:00:00,2378049,True,13,9,2.xx,3.xx,1.0,True,13,9,2.72,3.88,1.0,3.1800000000000006,4.339999999999993
2024-09-06T00:00:00,2377537,True,13,6,2.xx,3.xx,1.0,True,13,6,2.72,3.88,2.0,3.2000000000000006,4.359999999999992
2024-09-06T00:00:00,2377537,True,13,6,2.xx,3.xx,1.0,True,12,3,2.72,3.88,1.0,2.74,4.379999999999992
2024-09-06T00:00:00,2377537,True,12,3,2.xx,3.xx,1.0,True,13,6,2.72,3.88,2.0,2.74,4.3999999999999915
2024-09-06T00:00:00,2377537,True,12,3,2.xx,3.xx,1.0,True,12,3,2.72,3.88,1.0,2.7600000000000002,4.419999999999991
2024-09-04T00:00:00,2377005,True,13,5,2.xx,3.xx,3.0,True,13,5,2.72,3.88,4.0,3.2200000000000006,4.439999999999991
2024-08-11T00:00:00,2362584,True,11,8,2.xx,3.xx,3.0,True,11,8,2.72,3.88,3.0,3.2400000000000007,4.45999999999999
2024-06-26T00:00:00,2328988,True,10,12,2.xx,3.xx,1.0,True,10,12,2.72,3.88,2.0,3.2600000000000007,4.47999999999999
2024-06-12T00:00:00,2321070,True,13,10,2.xx,3.xx,,True,13,10,2.72,3.88,2.0,3.2800000000000007,4.499999999999989
2024-06-04T00:00:00,2316517,True,10,10,2.xx,3.xx,,True,10,10,2.72,3.88,2.0,3.3000000000000007,4.519999999999989
2024-06-02T00:00:00,2314802,True,12,3,2.xx,3.xx,4.0,True,12,3,2.72,3.88,5.0,3.3200000000000007,4.5399999999999885
2024-06-01T00:00:00,2316247,True,12,5,2.xx,3.xx,,True,12,5,2.72,3.88,5.0,3.3400000000000007,4.559999999999988
2024-06-01T00:00:00,2316247,True,12,5,2.xx,3.xx,,True,12,7,2.72,3.88,3.0,2.74,4.579999999999988
2024-06-01T00:00:00,2316247,True,12,7,2.xx,3.xx,3.0,True,12,5,2.72,3.88,5.0,2.74,4.599999999999987
2024-06-01T00:00:00,2316247,True,12,7,2.xx,3.xx,3.0,True,12,7,2.72,3.88,3.0,2.7600000000000002,4.619999999999987
2024-05-31T00:00:00,2314126,True,12,4,2.xx,3.xx,4.0,True,12,4,2.72,3.88,5.0,3.3600000000000008,4.639999999999986
2024-05-31T00:00:00,2314126,True,12,4,2.xx,3.xx,4.0,True,13,13,2.72,3.88,4.0,3.380000000000001,4.659999999999986
2024-05-31T00:00:00,2314126,True,13,13,2.xx,3.xx,2.0,True,12,4,2.72,3.88,5.0,3.400000000000001,4.6799999999999855
2024-05-31T00:00:00,2314126,True,13,13,2.xx,3.xx,2.0,True,13,13,2.72,3.88,4.0,3.420000000000001,4.699999999999985
2024-05-29T00:00:00,2313214,True,12,9,2.xx,3.xx,1.0,True,12,9,2.72,3.88,2.0,3.440000000000001,4.719999999999985
2024-05-28T00:00:00,2312710,True,13,9,2.xx,3.xx,,True,13,9,2.72,3.88,2.0,3.460000000000001,4.739999999999984
2024-05-19T00:00:00,2309132,True,12,6,2.xx,3.xx,1.0,True,12,6,2.72,3.88,1.0,3.480000000000001,4.759999999999984
2024-03-23T00:00:00,2200746,True,12,3,2.xx,3.xx,3.0,True,12,3,2.72,3.88,4.0,2.74,3.9
2024-03-23T00:00:00,2199674,True,13,7,2.xx,3.xx,3.0,True,13,7,2.72,3.88,3.0,3.520000000000001,4.799999999999983
2024-03-03T00:00:00,2168926,True,11,10,2.xx,3.xx,,True,11,10,2.72,3.88,4.0,3.500000000000001,4.779999999999983
2024-02-29T00:00:00,2169506,True,12,5,2.xx,3.xx,3.0,True,12,5,2.72,3.88,3.0,2.74,3.9
2024-02-24T00:00:00,2161850,True,12,5,2.xx,3.xx,,True,12,5,2.72,3.88,3.0,2.7600000000000002,3.92
2024-02-18T00:00:00,2151242,True,12,5,2.xx,3.xx,3.0,True,12,5,2.72,3.88,3.0,2.74,3.9
2024-02-17T00:00:00,2147745,True,12,1,2.xx,3.xx,,True,12,1,2.72,3.88,,2.74,3.9
2024-02-09T00:00:00,2161853,True,13,9,2.xx,3.xx,3.0,True,13,9,2.72,3.88,3.0,2.74,3.9
2024-02-03T00:00:00,2138672,True,12,5,2.xx,3.xx,3.0,True,12,5,2.72,3.88,3.0,2.74,3.9
2024-01-31T00:00:00,2142820,True,12,2,2.xx,3.xx,2.0,True,12,2,2.72,3.88,4.0,2.74,3.9
2024-01-28T00:00:00,2161204,True,12,6,2.xx,3.xx,3.0,True,12,6,2.72,3.88,3.0,2.74,3.9
2023-12-13T00:00:00,2104320,True,12,3,2.xx,3.xx,1.0,True,12,3,2.72,3.88,1.0,2.74,3.9
2023-12-12T00:00:00,2104321,True,12,3,2.xx,3.xx,3.0,True,12,3,2.72,3.88,2.0,2.7600000000000002,3.92
2023-12-11T00:00:00,2102037,True,12,6,2.xx,3.xx,1.0,True,12,6,2.72,3.88,2.0,2.7600000000000002,3.92
2023-12-05T00:00:00,2099442,True,10,7,2.xx,3.xx,5.0,True,10,7,2.72,3.88,1.0,2.74,3.9
2023-11-29T00:00:00,2094468,True,12,6,2.xx,3.xx,3.0,True,12,6,2.72,3.88,4.0,2.74,3.9
2023-11-19T00:00:00,2094943,True,12,7,2.xx,3.xx,,True,12,7,2.72,3.88,1.0,2.7800000000000002,3.94
2023-11-18T00:00:00,2094468,True,13,9,2.xx,3.xx,3.0,True,13,9,2.72,3.88,4.0,2.8000000000000003,3.96
2023-11-16T00:00:00,2094684,True,14,13,2.xx,3.xx,,True,14,13,2.72,3.88,4.0,2.8200000000000003,3.98
2023-11-08T00:00:00,2062394,True,9,8,2.xx,3.xx,3.0,True,9,8,2.72,3.88,3.0,2.74,3.9
2023-11-05T00:00:00,2064719,True,9,10,2.xx,3.xx,3.0,True,9,10,2.72,3.88,3.0,2.8400000000000003,4.0
2023-10-28T00:00:00,2062394,True,12,4,2.xx,3.xx,2.0,True,12,4,2.72,3.88,4.0,2.7600000000000002,3.92
2023-10-21T00:00:00,2062394,True,12,5,2.xx,3.xx,,True,12,5,2.72,3.88,4.0,2.7800000000000002,3.94
2023-10-15T00:00:00,2064719,True,13,9,2.xx,3.xx,3.0,True,13,9,2.72,3.88,3.0,2.74,3.9
2023-10-14T00:00:00,2062394,True,13,5,2.xx,3.xx,,True,13,5,2.72,3.88,3.0,2.74,3.9
2023-09-16T00:00:00,2062394,True,13,9,2.xx,3.xx,2.0,True,13,9,2.72,3.88,4.0,2.7600000000000002,3.92
2023-09-10T00:00:00,2059773,True,12,2,2.xx,3.xx,1.0,True,12,2,2.72,3.88,3.0,2.8600000000000003,4.02
